Date,Open,High,Low,Close,Volume
2025-02-19,6181.75,6144.15,6176.50,6192.85,4800000000
2025-02-20,6194.40,6108.60,6189.70,6105.25,4600000000
2025-02-21,6107.80,6125.45,6102.90,6120.15,4400000000
2025-02-24,6122.60,6138.20,6117.85,6134.50,4200000000
2025-02-25,6136.15,6151.80,6131.40,6148.25,4300000000
2025-02-26,6150.70,6165.35,6145.90,6162.40,4150000000
2025-02-27,6164.85,6178.50,6159.20,6175.60,4250000000
2025-02-28,6177.30,6191.95,6172.45,6188.80,4400000000
2025-03-03,6190.25,6204.90,6185.60,6201.15,4200000000
2025-03-04,6203.70,6217.35,6198.90,6214.50,4300000000
2025-03-05,6216.15,6229.80,6211.40,6226.75,4150000000
2025-03-06,6228.40,6241.05,6223.65,6238.20,4250000000
2025-03-07,6240.75,6253.40,6235.90,6250.65,4350000000
2025-03-10,6252.30,6264.95,6247.55,6262.10,4200000000
2025-03-11,6264.65,6276.30,6259.85,6273.55,4300000000
2025-03-12,6275.20,6286.85,6270.40,6284.00,4150000000
2025-03-13,6286.55,6298.20,6281.75,6295.45,4250000000
2025-03-14,6297.10,6308.75,6292.30,6306.90,4200000000
2025-03-17,6308.45,6320.10,6303.65,6317.35,4100000000
2025-03-18,6319.00,6330.65,6314.20,6328.80,4200000000
2025-03-19,6330.35,6342.00,6325.55,6340.25,5400000000
2025-03-20,6342.80,6354.45,6337.95,6352.70,4800000000
2025-03-21,6354.25,6365.90,6349.45,6363.15,4600000000
2025-03-24,6365.70,6377.35,6360.90,6375.60,4400000000
2025-03-25,6377.15,6388.80,6372.35,6386.05,4300000000
2025-03-26,6388.60,6400.25,6383.80,6398.50,4250000000
2025-03-27,6400.05,6411.70,6395.25,6409.95,4200000000
2025-03-28,6411.50,6423.15,6406.70,6421.40,4150000000
2025-03-31,6423.95,6435.60,6419.15,6433.85,4300000000
2025-04-01,6435.40,6447.05,6430.60,6445.30,4200000000
2025-04-02,6447.85,6459.50,6280.40,5850.75,8500000000
2025-04-03,5848.20,5892.85,5720.30,5762.45,9200000000
2025-04-04,5760.90,5810.55,5650.25,5698.80,8800000000
2025-04-07,5696.35,5745.00,5580.90,5624.15,9500000000
2025-04-08,5621.70,5670.35,4982.77,5124.50,12500000000
2025-04-09,5126.95,5614.30,5118.75,5613.85,15800000000
2025-04-10,5616.40,5665.05,5598.20,5652.70,7200000000
2025-04-11,5655.25,5703.90,5637.15,5689.35,6800000000
2025-04-14,5691.80,5740.45,5673.70,5726.90,6200000000
2025-04-15,5729.45,5778.10,5711.35,5764.55,5900000000
2025-04-16,5767.10,5815.75,5749.00,5802.20,5650000000
2025-04-17,5804.75,5853.40,5786.65,5839.85,5500000000
2025-04-21,5842.40,5891.05,5824.30,5877.50,5350000000
2025-04-22,5880.05,5928.70,5861.95,5915.15,5200000000
2025-04-23,5917.70,5966.35,5899.60,5952.80,5100000000
2025-04-24,5955.35,6004.00,5937.25,5990.45,5000000000
2025-04-25,5992.00,6040.65,5974.90,6028.10,4900000000
2025-04-28,6030.65,6079.30,6012.55,6065.75,4800000000
2025-04-29,6068.30,6116.95,6050.20,6103.40,4700000000
2025-04-30,6105.95,6154.60,6087.85,6141.05,4650000000
2025-05-01,6143.60,6192.25,6125.50,6178.70,4600000000
2025-05-02,6181.25,6229.90,6163.15,6216.35,4550000000
2025-05-05,6218.90,6267.55,6200.80,6254.00,4500000000
2025-05-06,6256.55,6305.20,6238.45,6291.65,4450000000
2025-05-07,6294.20,6342.85,6276.10,6329.30,5800000000
2025-05-08,6331.85,6380.50,6313.75,6366.95,5200000000
2025-05-09,6369.50,6418.15,6351.40,6404.60,4900000000
2025-05-12,6407.15,6455.80,6389.05,6442.25,4750000000
2025-05-13,6444.80,6493.45,6426.70,6479.90,4650000000
2025-05-14,6482.45,6531.10,6364.35,6417.55,7200000000
2025-05-15,6420.10,6468.75,6401.00,6455.20,5800000000
2025-05-16,6457.75,6506.40,6438.65,6492.85,5400000000
2025-05-19,6495.40,6544.05,6476.30,6530.50,5100000000
2025-05-20,6533.05,6581.70,6513.95,6568.15,4950000000
2025-05-21,6570.70,6619.35,6551.60,6605.80,4850000000
2025-05-22,6608.35,6657.00,6589.25,6643.45,4750000000
2025-05-23,6645.90,6694.55,6626.80,6681.10,4700000000
2025-05-27,6683.65,6732.30,6664.55,6718.75,4200000000
2025-05-28,6721.30,6769.95,6702.20,6756.40,4250000000
2025-05-29,6758.95,6807.60,6739.85,6794.05,4200000000
2025-05-30,6796.60,6845.25,6777.50,6831.70,4150000000
2025-06-02,6834.25,6382.90,6815.15,6000.00,4600000000 
